Seed;553488
SmoothNormals;True
InterpolateVertices;True
TrimOutputBuffer;False
ChunkSize;25,00
TerrainSizeX;20,00
TerrainSizeY;10,00
TerrainSizeZ;20,00
NoiseFrequency;13,00
NoiseStrength;0,05
NoiseLayers;3
NoiseLayerFrequencyMultiplier;2,10
cubesPerUnitLimit;15
numberOfShortMeasurments;10
numberOfLongMeasurments;3
shortMeasurmentTresholdSeconds;10,00
measurmentLengthLimitSeconds;10,00
fpsMeasurmentDurationSeconds;5,00

CPU
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation min time (ms);Voxel_Generation max time (ms);Marching_Cubes time (ms);Marching_Cubes min time (ms);Marching_Cubes max time (ms);Mesh_Smoothing time (ms);Mesh_Smoothing min time (ms);Mesh_Smoothing max time (ms);Mesh_Building time (ms);Mesh_Building min time (ms);Mesh_Building max time (ms);Buffer_Trimming time (ms);Buffer_Trimming min time (ms);Buffer_Trimming max time (ms);Mesh_Rendering time (ms);Mesh_Rendering min time (ms);Mesh_Rendering max time (ms);Total_Time time (ms);Total_Time min time (ms);Total_Time max time (ms);GPU memory used (b);Average frame rate
Cubes per unit;Total cubes;Voxel_Generation time (ms);Voxel_Generation min time (ms);Voxel_Generation max time (ms);Marching_Cubes time (ms);Marching_Cubes min time (ms);Marching_Cubes max time (ms);Mesh_Smoothing time (ms);Mesh_Smoothing min time (ms);Mesh_Smoothing max time (ms);Mesh_Building time (ms);Mesh_Building min time (ms);Mesh_Building max time (ms);Buffer_Trimming time (ms);Buffer_Trimming min time (ms);Buffer_Trimming max time (ms);Mesh_Rendering time (ms);Mesh_Rendering min time (ms);Mesh_Rendering max time (ms);Total_Time time (ms);Total_Time min time (ms);Total_Time max time (ms);GPU memory used (b);Average frame rate
1;4000;0,04;0,04;0,05;0,01;0,01;0,01;0,01;0,01;0,01;2,18;1,96;3,13;0,00;0,00;0,00;29,91;25,60;37,00;32,16;27,73;40,20;1440000;200,20
2;32000;0,04;0,04;0,05;0,01;0,01;0,02;0,01;0,01;0,01;5,75;4,94;9,62;0,00;0,00;0,00;30,34;26,16;36,40;36,16;31,36;45,18;11520000;200,00
3;108000;0,11;0,10;0,13;0,04;0,04;0,05;0,03;0,03;0,04;18,77;8,66;37,41;0,00;0,00;0,00;32,96;27,32;38,38;51,92;37,10;65,41;38880000;200,20
4;256000;0,12;0,10;0,18;0,05;0,04;0,06;0,04;0,03;0,04;25,56;18,74;39,56;0,00;0,00;0,00;34,13;28,31;41,61;59,89;47,31;81,39;92160000;200,00
5;500000;0,35;0,30;0,41;0,17;0,15;0,19;0,14;0,13;0,15;67,57;51,52;93,49;0,00;0,00;0,00;39,35;30,87;45,78;107,57;93,20;137,82;180000000;200,40
6;864000;0,38;0,34;0,46;0,18;0,17;0,19;0,14;0,14;0,15;78,74;59,65;156,71;0,00;0,00;0,00;42,77;33,09;52,16;122,20;93,42;209,68;311040000;200,40
7;1372000;0,64;0,55;0,81;0,31;0,28;0,34;0,25;0,24;0,27;129,32;107,88;201,45;0,00;0,00;0,00;48,89;45,64;55,59;179,41;157,34;258,36;493920000;200,20
8;2048000;0,62;0,54;0,79;0,30;0,28;0,33;0,25;0,24;0,27;135,97;116,40;222,67;0,00;0,00;0,00;51,03;48,54;62,60;188,17;167,24;286,56;737280000;200,40
9;2916000;1,40;1,27;1,63;0,70;0,66;0,74;0,58;0,56;0,60;275,88;252,84;411,76;0,00;0,00;0,00;56,16;54,53;64,86;334,71;309,94;479,58;1049760000;200,20
10;4000000;1,44;1,33;1,56;0,71;0,68;0,75;0,59;0,58;0,62;287,40;269,22;383,56;0,00;0,00;0,00;58,84;55,94;69,17;348,98;329,70;455,55;1440000000;200,20
11;5324000;1,98;1,81;2,22;0,99;0,95;1,04;0,83;0,80;0,85;410,83;380,46;515,09;0,00;0,00;0,00;64,32;61,21;73,10;478,96;448,15;592,29;1916640000;200,00
12;6912000;2,15;1,91;2,57;1,03;0,97;1,14;0,85;0,83;0,93;518,71;397,31;844,11;0,00;0,00;0,00;70,40;64,89;84,44;593,14;466,11;916,88;2488320000;200,20
13;8788000;3,68;3,24;4,10;1,83;1,73;1,89;1,53;1,48;1,56;856,45;765,98;1179,86;0,00;0,00;0,00;78,45;74,49;90,18;941,93;849,54;1263,11;3163680000;199,60
14;10976000;3,96;3,75;4,33;1,89;1,85;1,98;1,55;1,51;1,60;1013,61;858,89;1455,62;0,00;0,00;0,00;135,40;103,66;205,62;1156,41;989,02;1567,15;3951360000;198,80
15;13500000;4,46;4,22;4,86;1,97;1,92;2,07;1,61;1,56;1,66;1232,56;1120,77;1381,78;0,00;0,00;0,00;167,06;131,05;226,99;1407,65;1301,29;1530,63;4860000000;197,80

